"unitid","institution name","year","C2024_A.First or Second Major","C2024_A.CIP Code -  2020 Classification","CipTitle","C2024_A.Award Level code","C2024_A.Grand total","IDX_C"
"110495","California State University-Stanislaus","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","24","-2"
"110495","California State University-Stanislaus","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","24","-2"
"110495","California State University-Stanislaus","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","7","-2"
"110495","California State University-Stanislaus","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","7","-2"
"110510","California State University-San Bernardino","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","52","-2"
"110510","California State University-San Bernardino","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","9","-2"
"110510","California State University-San Bernardino","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","47","-2"
"110510","California State University-San Bernardino","2024","First major","'16.0905'","Spanish Language and Literature","Master's degree","9","-2"
"110510","California State University-San Bernardino","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","21","-2"
"110510","California State University-San Bernardino","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","18","-2"
"110529","California State Polytechnic University-Pomona","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","17","-2"
"110529","California State Polytechnic University-Pomona","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","17","-2"
"110538","California State University-Chico","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","13","-2"
"110538","California State University-Chico","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","12","-2"
"110538","California State University-Chico","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","7","-2"
"110538","California State University-Chico","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","6","-2"
"110547","California State University-Dominguez Hills","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","12","-2"
"110547","California State University-Dominguez Hills","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","12","-2"
"110556","California State University-Fresno","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","68","-2"
"110556","California State University-Fresno","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","14","-2"
"110556","California State University-Fresno","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","56","-2"
"110556","California State University-Fresno","2024","First major","'16.0905'","Spanish Language and Literature","Master's degree","11","-2"
"110556","California State University-Fresno","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","3","-2"
"110556","California State University-Fresno","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","3","-2"
"110565","California State University-Fullerton","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","49","-2"
"110565","California State University-Fullerton","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","11","-2"
"110565","California State University-Fullerton","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","22","-2"
"110565","California State University-Fullerton","2024","First major","'16.0905'","Spanish Language and Literature","Master's degree","9","-2"
"110565","California State University-Fullerton","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","8","-2"
"110565","California State University-Fullerton","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","5","-2"
"110574","California State University-East Bay","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","6","-2"
"110574","California State University-East Bay","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","6","-2"
"110574","California State University-East Bay","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","1","-2"
"110583","California State University-Long Beach","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","84","-2"
"110583","California State University-Long Beach","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","21","-2"
"110583","California State University-Long Beach","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","38","-2"
"110583","California State University-Long Beach","2024","First major","'16.0905'","Spanish Language and Literature","Master's degree","0","-2"
"110583","California State University-Long Beach","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","11","-2"
"110583","California State University-Long Beach","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","3","-2"
"110592","California State University-Los Angeles","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","26","-2"
"110592","California State University-Los Angeles","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","5","-2"
"110592","California State University-Los Angeles","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","26","-2"
"110592","California State University-Los Angeles","2024","First major","'16.0905'","Spanish Language and Literature","Master's degree","5","-2"
"110592","California State University-Los Angeles","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","1","-2"
"110592","California State University-Los Angeles","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","1","-2"
"110608","California State University-Northridge","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","47","-2"
"110608","California State University-Northridge","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","12","-2"
"110608","California State University-Northridge","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","22","-2"
"110608","California State University-Northridge","2024","First major","'16.0905'","Spanish Language and Literature","Master's degree","5","-2"
"110608","California State University-Northridge","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"110608","California State University-Northridge","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","1","-2"
"110617","California State University-Sacramento","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","25","-2"
"110617","California State University-Sacramento","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","9","-2"
"110617","California State University-Sacramento","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","24","-2"
"110617","California State University-Sacramento","2024","First major","'16.0905'","Spanish Language and Literature","Master's degree","9","-2"
"110617","California State University-Sacramento","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","1","-2"
"110617","California State University-Sacramento","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","1","-2"
