"unitid","institution name","year","C2017_A.First or Second Major","C2017_A.CIP Code -  2010 Classification","CipTitle","C2017_A.Award Level code","C2017_A_RV.Grand total","IDX_C"
"106704","University of Central Arkansas","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"107044","Harding University","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","12","-2"
"107044","Harding University","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","9","-2"
"107044","Harding University","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","6","-2"
"107044","Harding University","2017","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","4","-2"
"107071","Henderson State University","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"107071","Henderson State University","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","2","-2"
"107080","Hendrix College","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","11","-2"
"107080","Hendrix College","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","3","-2"
"107080","Hendrix College","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","11","-2"
"107080","Hendrix College","2017","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","7","-2"
"107141","John Brown University","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","1","-2"
"107141","John Brown University","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","1","-2"
"107512","Ouachita Baptist University","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"107512","Ouachita Baptist University","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","1","-2"
"107558","University of the Ozarks","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"107558","University of the Ozarks","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","2","-2"
