"unitid","institution name","year","C2015_A.First or Second Major","C2015_A.CIP Code -  2010 Classification","CipTitle","C2015_A.Award Level code","C2015_A_RV.Grand total","IDX_C"
"106397","University of Arkansas","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","13","-2"
"106458","Arkansas State University","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","5","-2"
"106458","Arkansas State University","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","0","-2"
"106467","Arkansas Tech University","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","8","-2"
"106467","Arkansas Tech University","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","0","-2"
"106467","Arkansas Tech University","2015","First major","'16.0905'","Spanish Language and Literature","Master's degree","0","-2"
"106485","University of Arkansas at Monticello","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","3","-2"
"106485","University of Arkansas at Monticello","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
"106704","University of Central Arkansas","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","13","-2"
"106704","University of Central Arkansas","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","1","-2"
"106704","University of Central Arkansas","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","1","-2"
"106704","University of Central Arkansas","2015","First major","'16.0905'","Spanish Language and Literature","Master's degree","1","-2"
"106704","University of Central Arkansas","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","1","-2"
"107044","Harding University","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","10","-2"
"107044","Harding University","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","7","-2"
"107044","Harding University","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","6","-2"
"107044","Harding University","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","5","-2"
"107071","Henderson State University","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","1","-2"
"107071","Henderson State University","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","1","-2"
"107080","Hendrix College","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","11","-2"
"107080","Hendrix College","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","6","-2"
"107080","Hendrix College","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","10","-2"
"107080","Hendrix College","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","9","-2"
"107141","John Brown University","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","5","-2"
