"unitid","institution name","year","C2019_A.First or Second Major","C2019_A.CIP Code -  2010 Classification","CipTitle","C2019_A.Award Level code","C2019_A_RV.Grand total","IDX_C"
"177214","Drury University","2019","Second major","'13'","Education","Bachelor's degree","3","-2"
"177339","Evangel University","2019","First major","'13'","Education","Bachelor's degree","42","-2"
"177339","Evangel University","2019","First major","'13'","Education","Master's degree","27","-2"
"177339","Evangel University","2019","First major","'13'","Education","Doctor's degree - research/scholarship","6","-2"
"177339","Evangel University","2019","Second major","'13'","Education","Bachelor's degree","4","-2"
"177418","Fontbonne University","2019","First major","'13'","Education","Bachelor's degree","34","-2"
"177418","Fontbonne University","2019","First major","'13'","Education","Master's degree","84","-2"
"177418","Fontbonne University","2019","First major","'13'","Education","Doctor's degree - research/scholarship","0","-2"
"177542","Hannibal-LaGrange University","2019","First major","'13'","Education","Bachelor's degree","33","-2"
"177542","Hannibal-LaGrange University","2019","First major","'13'","Education","Master's degree","28","-2"
"177551","Harris-Stowe State University","2019","First major","'13'","Education","Bachelor's degree","45","-2"
"177834","A T Still University of Health Sciences","2019","First major","'13'","Education","Doctor's degree - research/scholarship","33","-2"
"177940","Lincoln University","2019","First major","'13'","Education","Bachelor's degree","32","-2"
"177940","Lincoln University","2019","First major","'13'","Education","Master's degree","13","-2"
"177968","Lindenwood University","2019","First major","'13'","Education","Bachelor's degree","113","-2"
"177968","Lindenwood University","2019","First major","'13'","Education","Master's degree","324","-2"
"177968","Lindenwood University","2019","First major","'13'","Education","Doctor's degree - research/scholarship","60","-2"
"178059","Maryville University of Saint Louis","2019","First major","'13'","Education","Bachelor's degree","25","-2"
"178059","Maryville University of Saint Louis","2019","First major","'13'","Education","Master's degree","31","-2"
"178059","Maryville University of Saint Louis","2019","First major","'13'","Education","Doctor's degree - research/scholarship","76","-2"
"178059","Maryville University of Saint Louis","2019","Second major","'13'","Education","Bachelor's degree","1","-2"
"178244","Missouri Baptist University","2019","First major","'13'","Education","Bachelor's degree","98","-2"
"178244","Missouri Baptist University","2019","First major","'13'","Education","Master's degree","165","-2"
"178244","Missouri Baptist University","2019","First major","'13'","Education","Doctor's degree - research/scholarship","26","-2"
"178244","Missouri Baptist University","2019","Second major","'13'","Education","Bachelor's degree","21","-2"
"178341","Missouri Southern State University","2019","First major","'13'","Education","Bachelor's degree","105","-2"
"178341","Missouri Southern State University","2019","First major","'13'","Education","Master's degree","21","-2"
"178341","Missouri Southern State University","2019","Second major","'13'","Education","Bachelor's degree","1","-2"
"178369","Missouri Valley College","2019","First major","'13'","Education","Bachelor's degree","12","-2"
"178369","Missouri Valley College","2019","Second major","'13'","Education","Bachelor's degree","1","-2"
"178387","Missouri Western State University","2019","First major","'13'","Education","Bachelor's degree","68","-2"
"178387","Missouri Western State University","2019","First major","'13'","Education","Master's degree","11","-2"
"178396","University of Missouri-Columbia","2019","First major","'13'","Education","Bachelor's degree","279","-2"
"178396","University of Missouri-Columbia","2019","First major","'13'","Education","Master's degree","366","-2"
